Year,Borough,CapRate,NYCcr
2015.03,QNcr,4.73,5.0649999999999995
2015.03,MNcr,5.26,5.0649999999999995
2015.03,BXcr,5.75,5.0649999999999995
2015.03,BKcr,4.52,5.0649999999999995
2015.07,QNcr,4.73,5.0649999999999995
2015.07,MNcr,5.26,5.0649999999999995
2015.07,BXcr,5.75,5.0649999999999995
2015.07,BKcr,4.52,5.0649999999999995
2015.21,QNcr,4.63,4.9475
2015.21,MNcr,5.06,4.9475
2015.21,BXcr,5.62,4.9475
2015.21,BKcr,4.48,4.9475
2013.26,QNcr,4.63,5.5875
2013.26,MNcr,5.06,5.5875
2013.26,BXcr,5.62,5.5875
2013.26,BKcr,4.48,5.5875
2015.25,QNcr,4.63,4.67125
2015.25,MNcr,5.06,4.67125
2015.25,BXcr,5.62,4.67125
2015.25,BKcr,4.48,4.67125
2015.29,QNcr,4.63,4.9475
2015.29,MNcr,5.06,4.9475
2015.29,BXcr,5.62,4.9475
2015.29,BKcr,4.48,4.9475
2015.43,QNcr,4.53,4.835
2015.43,MNcr,4.86,4.835
2015.43,BXcr,5.5,4.835
2015.43,BKcr,4.45,4.835
2013.45,QNcr,4.53,4.835
2013.45,MNcr,4.86,4.835
2013.45,BXcr,5.5,4.835
2013.45,BKcr,4.45,4.835
2015.48,QNcr,4.53,4.59875
2015.48,MNcr,4.86,4.59875
2015.48,BXcr,5.5,4.59875
2015.48,BKcr,4.45,4.59875
2015.52,QNcr,4.53,4.835
2015.52,MNcr,4.86,4.835
2015.52,BXcr,5.5,4.835
2015.52,BKcr,4.45,4.835
2015.66,QNcr,4.45,4.7375
2015.66,MNcr,4.7,4.7375
2015.66,BXcr,5.39,4.7375
2015.66,BKcr,4.41,4.7375
2013.67,QNcr,4.45,4.7375
2013.67,MNcr,4.7,4.7375
2013.67,BXcr,5.39,4.7375
2013.67,BKcr,4.41,4.7375
2015.71,QNcr,4.45,4.7375
2015.71,MNcr,4.7,4.7375
2015.71,BXcr,5.39,4.7375
2015.71,BKcr,4.41,4.7375
2015.74,QNcr,4.45,4.7375
2015.74,MNcr,4.7,4.7375
2015.74,BXcr,5.39,4.7375
2015.74,BKcr,4.41,4.7375
2015.95,QNcr,4.38,4.68
2015.95,MNcr,4.58,4.68
2015.95,BXcr,5.3,4.68
2015.95,BKcr,4.46,4.68
2013.89,QNcr,4.38,4.68
2013.89,MNcr,4.58,4.68
2013.89,BXcr,5.3,4.68
2013.89,BKcr,4.46,4.68
2015.93,QNcr,4.38,4.498749999999999
2015.93,MNcr,4.58,4.498749999999999
2015.93,BXcr,5.3,4.498749999999999
2015.93,BKcr,4.46,4.498749999999999
2015.97,QNcr,4.38,4.68
2015.97,MNcr,4.58,4.68
2015.97,BXcr,5.3,4.68
2015.97,BKcr,4.46,4.68
2016.18,QNcr,4.31,4.6225
2016.18,MNcr,4.5,4.6225
2016.18,BXcr,5.22,4.6225
2016.18,BKcr,4.46,4.6225
2014.12,QNcr,4.31,4.6225
2014.12,MNcr,4.5,4.6225
2014.12,BXcr,5.22,4.6225
2014.12,BKcr,4.46,4.6225
2016.16,QNcr,4.31,4.6225
2016.16,MNcr,4.5,4.6225
2016.16,BXcr,5.22,4.6225
2016.16,BKcr,4.46,4.6225
2016.2,QNcr,4.31,4.6225
2016.2,MNcr,4.5,4.6225
2016.2,BXcr,5.22,4.6225
2016.2,BKcr,4.46,4.6225
2016.4,QNcr,4.25,4.577500000000001
2016.4,MNcr,4.43,4.577500000000001
2016.4,BXcr,5.15,4.577500000000001
2016.4,BKcr,4.48,4.577500000000001
2014.35,QNcr,4.25,4.577500000000001
2014.35,MNcr,4.43,4.577500000000001
2014.35,BXcr,5.15,4.577500000000001
2014.35,BKcr,4.48,4.577500000000001
2016.38,QNcr,4.25,4.445
2016.38,MNcr,4.43,4.445
2016.38,BXcr,5.15,4.445
2016.38,BKcr,4.48,4.445
2016.42,QNcr,4.25,4.577500000000001
2016.42,MNcr,4.43,4.577500000000001
2016.42,BXcr,5.15,4.577500000000001
2016.42,BKcr,4.48,4.577500000000001
2016.63,QNcr,4.2,4.53
2016.63,MNcr,4.36,4.53
2016.63,BXcr,5.08,4.53
2016.63,BKcr,4.48,4.53
2014.57,QNcr,4.2,4.53
2014.57,MNcr,4.36,4.53
2014.57,BXcr,5.08,4.53
2014.57,BKcr,4.48,4.53
2016.61,QNcr,4.2,4.53
2016.61,MNcr,4.36,4.53
2016.61,BXcr,5.08,4.53
2016.61,BKcr,4.48,4.53
2016.65,QNcr,4.2,4.53
2016.65,MNcr,4.36,4.53
2016.65,BXcr,5.08,4.53
2016.65,BKcr,4.48,4.53
2016.85,QNcr,4.17,4.4825
2016.85,MNcr,4.3,4.4825
2016.85,BXcr,5.01,4.4825
2016.85,BKcr,4.45,4.4825
2014.8,QNcr,4.17,4.84875
2014.8,MNcr,4.3,4.84875
2014.8,BXcr,5.01,4.84875
2014.8,BKcr,4.45,4.84875
2016.83,QNcr,4.17,4.4125
2016.83,MNcr,4.3,4.4125
2016.83,BXcr,5.01,4.4125
2016.83,BKcr,4.45,4.4125
2016.87,QNcr,4.17,4.4825
2016.87,MNcr,4.3,4.4825
2016.87,BXcr,5.01,4.4825
2016.87,BKcr,4.45,4.4825
2017.08,QNcr,4.15,4.4350000000000005
2017.08,MNcr,4.25,4.4350000000000005
2017.08,BXcr,4.94,4.4350000000000005
2017.08,BKcr,4.4,4.4350000000000005
2015.02,QNcr,4.15,4.4350000000000005
2015.02,MNcr,4.25,4.4350000000000005
2015.02,BXcr,4.94,4.4350000000000005
2015.02,BKcr,4.4,4.4350000000000005
2017.06,QNcr,4.15,4.4
2017.06,MNcr,4.25,4.4
2017.06,BXcr,4.94,4.4
2017.06,BKcr,4.4,4.4
2017.1,QNcr,4.15,4.4350000000000005
2017.1,MNcr,4.25,4.4350000000000005
2017.1,BXcr,4.94,4.4350000000000005
2017.1,BKcr,4.4,4.4350000000000005
2017.31,QNcr,4.14,4.395
2017.31,MNcr,4.21,4.395
2017.31,BXcr,4.88,4.395
2017.31,BKcr,4.35,4.395
2015.25,QNcr,4.14,4.67125
2015.25,MNcr,4.21,4.67125
2015.25,BXcr,4.88,4.67125
2015.25,BKcr,4.35,4.67125
2017.29,QNcr,4.14,4.395
2017.29,MNcr,4.21,4.395
2017.29,BXcr,4.88,4.395
2017.29,BKcr,4.35,4.395
2017.33,QNcr,4.14,4.395
2017.33,MNcr,4.21,4.395
2017.33,BXcr,4.88,4.395
2017.33,BKcr,4.35,4.395
2017.53,QNcr,4.14,4.3625
2017.53,MNcr,4.16,4.3625
2017.53,BXcr,4.83,4.3625
2017.53,BKcr,4.32,4.3625
2015.48,QNcr,4.14,4.59875
2015.48,MNcr,4.16,4.59875
2015.48,BXcr,4.83,4.59875
2015.48,BKcr,4.32,4.59875
2017.51,QNcr,4.14,4.4025
2017.51,MNcr,4.16,4.4025
2017.51,BXcr,4.83,4.4025
2017.51,BKcr,4.32,4.4025
2017.55,QNcr,4.14,4.3625
2017.55,MNcr,4.16,4.3625
2017.55,BXcr,4.83,4.3625
2017.55,BKcr,4.32,4.3625
2017.76,QNcr,4.14,4.3375
2017.76,MNcr,4.09,4.3375
2017.76,BXcr,4.8,4.3375
2017.76,BKcr,4.32,4.3375
2015.7,QNcr,4.14,4.3375
2015.7,MNcr,4.09,4.3375
2015.7,BXcr,4.8,4.3375
2015.7,BKcr,4.32,4.3375
2017.74,QNcr,4.14,4.41625
2017.74,MNcr,4.09,4.41625
2017.74,BXcr,4.8,4.41625
2017.74,BKcr,4.32,4.41625
2017.78,QNcr,4.14,4.3375
2017.78,MNcr,4.09,4.3375
2017.78,BXcr,4.8,4.3375
2017.78,BKcr,4.32,4.3375
2017.98,QNcr,4.14,4.3175
2017.98,MNcr,4.01,4.3175
2017.98,BXcr,4.77,4.3175
2017.98,BKcr,4.35,4.3175
2015.93,QNcr,4.14,4.498749999999999
2015.93,MNcr,4.01,4.498749999999999
2015.93,BXcr,4.77,4.498749999999999
2015.93,BKcr,4.35,4.498749999999999
2017.96,QNcr,4.14,4.43875
2017.96,MNcr,4.01,4.43875
2017.96,BXcr,4.77,4.43875
2017.96,BKcr,4.35,4.43875
2018,QNcr,4.14,4.3175
2018,MNcr,4.01,4.3175
2018,BXcr,4.77,4.3175
2018,BKcr,4.35,4.3175
2018.21,QNcr,4.15,4.3125
2018.21,MNcr,3.93,4.3125
2018.21,BXcr,4.76,4.3125
2018.21,BKcr,4.41,4.3125
2016.15,QNcr,4.15,4.3125
2016.15,MNcr,3.93,4.3125
2016.15,BXcr,4.76,4.3125
2016.15,BKcr,4.41,4.3125
2018.19,QNcr,4.15,4.4875
2018.19,MNcr,3.93,4.4875
2018.19,BXcr,4.76,4.4875
2018.19,BKcr,4.41,4.4875
2018.23,QNcr,4.15,4.3125
2018.23,MNcr,3.93,4.3125
2018.23,BXcr,4.76,4.3125
2018.23,BKcr,4.41,4.3125
2018.44,QNcr,4.17,4.3125
2018.44,MNcr,3.86,4.3125
2018.44,BXcr,4.76,4.3125
2018.44,BKcr,4.46,4.3125
2016.38,QNcr,4.17,4.445
2016.38,MNcr,3.86,4.445
2016.38,BXcr,4.76,4.445
2016.38,BKcr,4.46,4.445
2018.42,QNcr,4.17,4.3125
2018.42,MNcr,3.86,4.3125
2018.42,BXcr,4.76,4.3125
2018.42,BKcr,4.46,4.3125
2018.46,QNcr,4.17,4.3125
2018.46,MNcr,3.86,4.3125
2018.46,BXcr,4.76,4.3125
2018.46,BKcr,4.46,4.3125
2018.66,QNcr,4.19,4.325
2018.66,MNcr,3.82,4.325
2018.66,BXcr,4.78,4.325
2018.66,BKcr,4.51,4.325
2016.6,QNcr,4.19,4.325
2016.6,MNcr,3.82,4.325
2016.6,BXcr,4.78,4.325
2016.6,BKcr,4.51,4.325
2018.64,QNcr,4.19,4.595
2018.64,MNcr,3.82,4.595
2018.64,BXcr,4.78,4.595
2018.64,BKcr,4.51,4.595
2018.68,QNcr,4.19,4.325
2018.68,MNcr,3.82,4.325
2018.68,BXcr,4.78,4.325
2018.68,BKcr,4.51,4.325
2018.89,QNcr,4.2,4.3425
2018.89,MNcr,3.82,4.3425
2018.89,BXcr,4.82,4.3425
2018.89,BKcr,4.53,4.3425
2016.83,QNcr,4.2,4.4125
2016.83,MNcr,3.82,4.4125
2016.83,BXcr,4.82,4.4125
2016.83,BKcr,4.53,4.4125
2018.87,QNcr,4.2,4.65125
2018.87,MNcr,3.82,4.65125
2018.87,BXcr,4.82,4.65125
2018.87,BKcr,4.53,4.65125
2018.91,QNcr,4.2,4.3425
2018.91,MNcr,3.82,4.3425
2018.91,BXcr,4.82,4.3425
2018.91,BKcr,4.53,4.3425
2019.12,QNcr,4.2,4.365
2019.12,MNcr,3.85,4.365
2019.12,BXcr,4.88,4.365
2019.12,BKcr,4.53,4.365
2017.06,QNcr,4.2,4.4
2017.06,MNcr,3.85,4.4
2017.06,BXcr,4.88,4.4
2017.06,BKcr,4.53,4.4
2019.1,QNcr,4.2,4.365
2019.1,MNcr,3.85,4.365
2019.1,BXcr,4.88,4.365
2019.1,BKcr,4.53,4.365
2019.14,QNcr,4.2,4.365
2019.14,MNcr,3.85,4.365
2019.14,BXcr,4.88,4.365
2019.14,BKcr,4.53,4.365
2019.34,QNcr,4.21,4.3999999999999995
2019.34,MNcr,3.9,4.3999999999999995
2019.34,BXcr,4.97,4.3999999999999995
2019.34,BKcr,4.52,4.3999999999999995
2017.28,QNcr,4.21,4.3999999999999995
2017.28,MNcr,3.9,4.3999999999999995
2017.28,BXcr,4.97,4.3999999999999995
2017.28,BKcr,4.52,4.3999999999999995
2019.32,QNcr,4.21,4.3999999999999995
2019.32,MNcr,3.9,4.3999999999999995
2019.32,BXcr,4.97,4.3999999999999995
2019.32,BKcr,4.52,4.3999999999999995
2019.36,QNcr,4.21,4.3999999999999995
2019.36,MNcr,3.9,4.3999999999999995
2019.36,BXcr,4.97,4.3999999999999995
2019.36,BKcr,4.52,4.3999999999999995
2019.57,QNcr,4.25,4.4425
2019.57,MNcr,3.93,4.4425
2019.57,BXcr,5.06,4.4425
2019.57,BKcr,4.53,4.4425
2017.51,QNcr,4.25,4.4025
2017.51,MNcr,3.93,4.4025
2017.51,BXcr,5.06,4.4025
2017.51,BKcr,4.53,4.4025
2019.55,QNcr,4.25,4.4425
2019.55,MNcr,3.93,4.4425
2019.55,BXcr,5.06,4.4425
2019.55,BKcr,4.53,4.4425
2019.59,QNcr,4.25,4.4425
2019.59,MNcr,3.93,4.4425
2019.59,BXcr,5.06,4.4425
2019.59,BKcr,4.53,4.4425
2019.8,QNcr,4.33,4.495
2019.8,MNcr,3.94,4.495
2019.8,BXcr,5.16,4.495
2019.8,BKcr,4.55,4.495
2017.74,QNcr,4.33,4.41625
2017.74,MNcr,3.94,4.41625
2017.74,BXcr,5.16,4.41625
2017.74,BKcr,4.55,4.41625
2019.78,QNcr,4.33,4.495
2019.78,MNcr,3.94,4.495
2019.78,BXcr,5.16,4.495
2019.78,BKcr,4.55,4.495
2019.81,QNcr,4.33,4.495
2019.81,MNcr,3.94,4.495
2019.81,BXcr,5.16,4.495
2019.81,BKcr,4.55,4.495
2020,QNcr,4.47,4.56
2020,MNcr,3.9,4.56
2020,BXcr,5.26,4.56
2020,BKcr,4.61,4.56
2017.96,QNcr,4.47,4.43875
2017.96,MNcr,3.9,4.43875
2017.96,BXcr,5.26,4.43875
2017.96,BKcr,4.61,4.43875
2020.03,QNcr,4.47,4.56
2020.03,MNcr,3.9,4.56
2020.03,BXcr,5.26,4.56
2020.03,BKcr,4.61,4.56
2020.21,QNcr,4.65,4.6625
2020.21,MNcr,3.84,4.6625
2020.21,BXcr,5.37,4.6625
2020.21,BKcr,4.79,4.6625
2018.19,QNcr,4.65,4.4875
2018.19,MNcr,3.84,4.4875
2018.19,BXcr,5.37,4.4875
2018.19,BKcr,4.79,4.4875
2020.23,QNcr,4.65,4.6625
2020.23,MNcr,3.84,4.6625
2020.23,BXcr,5.37,4.6625
2020.23,BKcr,4.79,4.6625
2020.43,QNcr,4.83,4.765000000000001
2020.43,MNcr,3.79,4.765000000000001
2020.43,BXcr,5.49,4.765000000000001
2020.43,BKcr,4.95,4.765000000000001
2018.41,QNcr,4.83,4.765000000000001
2018.41,MNcr,3.79,4.765000000000001
2018.41,BXcr,5.49,4.765000000000001
2018.41,BKcr,4.95,4.765000000000001
2020.46,QNcr,4.83,4.765000000000001
2020.46,MNcr,3.79,4.765000000000001
2020.46,BXcr,5.49,4.765000000000001
2020.46,BKcr,4.95,4.765000000000001
2020.41,QNcr,4.83,4.765000000000001
2020.41,MNcr,3.79,4.765000000000001
2020.41,BXcr,5.49,4.765000000000001
2020.41,BKcr,4.95,4.765000000000001
2020.62,QNcr,5,4.865
2020.62,MNcr,3.79,4.865
2020.62,BXcr,5.6,4.865
2020.62,BKcr,5.07,4.865
2018.64,QNcr,5,4.595
2018.64,MNcr,3.79,4.595
2018.64,BXcr,5.6,4.595
2018.64,BKcr,5.07,4.595
2020.68,QNcr,5,4.865
2020.68,MNcr,3.79,4.865
2020.68,BXcr,5.6,4.865
2020.68,BKcr,5.07,4.865
2020.6,QNcr,5,4.993333333333333
2020.6,MNcr,3.79,4.993333333333333
2020.6,BXcr,5.6,4.993333333333333
2020.6,BKcr,5.07,4.993333333333333
2020.89,QNcr,5.17,4.96
2020.89,MNcr,3.85,4.96
2020.89,BXcr,5.68,4.96
2020.89,BKcr,5.14,4.96
2018.87,QNcr,5.17,4.65125
2018.87,MNcr,3.85,4.65125
2018.87,BXcr,5.68,4.65125
2018.87,BKcr,5.14,4.65125
2020.91,QNcr,5.17,4.96
2020.91,MNcr,3.85,4.96
2020.91,BXcr,5.68,4.96
2020.91,BKcr,5.14,4.96
2020.8,QNcr,5.17,4.96
2020.8,MNcr,3.85,4.96
2020.8,BXcr,5.68,4.96
2020.8,BKcr,5.14,4.96
2021.11,QNcr,5.28,5.0675
2021.11,MNcr,4.01,5.0675
2021.11,BXcr,5.74,5.0675
2021.11,BKcr,5.24,5.0675
2019.09,QNcr,5.28,5.0675
2019.09,MNcr,4.01,5.0675
2019.09,BXcr,5.74,5.0675
2019.09,BKcr,5.24,5.0675
2021.13,QNcr,5.28,5.0675
2021.13,MNcr,4.01,5.0675
2021.13,BXcr,5.74,5.0675
2021.13,BKcr,5.24,5.0675
2021.03,QNcr,5.28,5.0675
2021.03,MNcr,4.01,5.0675
2021.03,BXcr,5.74,5.0675
2021.03,BKcr,5.24,5.0675
2021.34,QNcr,5.34,5.14
2021.34,MNcr,4.14,5.14
2021.34,BXcr,5.78,5.14
2021.34,BKcr,5.3,5.14
2019.28,QNcr,5.34,5.14
2019.28,MNcr,4.14,5.14
2019.28,BXcr,5.78,5.14
2019.28,BKcr,5.3,5.14
2021.36,QNcr,5.34,5.14
2021.36,MNcr,4.14,5.14
2021.36,BXcr,5.78,5.14
2021.36,BKcr,5.3,5.14
2021.26,QNcr,5.34,5.14
2021.26,MNcr,4.14,5.14
2021.26,BXcr,5.78,5.14
2021.26,BKcr,5.3,5.14
2021.62,QNcr,5.38,5.2375
2021.62,MNcr,4.34,5.2375
2021.62,BXcr,5.81,5.2375
2021.62,BKcr,5.42,5.2375
2019.46,QNcr,5.38,5.2375
2019.46,MNcr,4.34,5.2375
2019.46,BXcr,5.81,5.2375
2019.46,BKcr,5.42,5.2375
2021.59,QNcr,5.38,5.2375
2021.59,MNcr,4.34,5.2375
2021.59,BXcr,5.81,5.2375
2021.59,BKcr,5.42,5.2375
2021.48,QNcr,5.38,5.2375
2021.48,MNcr,4.34,5.2375
2021.48,BXcr,5.81,5.2375
2021.48,BKcr,5.42,5.2375
2021.83,QNcr,5.4,5.3025
2021.83,MNcr,4.5,5.3025
2021.83,BXcr,5.83,5.3025
2021.83,BKcr,5.48,5.3025
2019.69,QNcr,5.4,5.3025
2019.69,MNcr,4.5,5.3025
2019.69,BXcr,5.83,5.3025
2019.69,BKcr,5.48,5.3025
2021.81,QNcr,5.4,5.3025
2021.81,MNcr,4.5,5.3025
2021.81,BXcr,5.83,5.3025
2021.81,BKcr,5.48,5.3025
2021.71,QNcr,5.4,5.3025
2021.71,MNcr,4.5,5.3025
2021.71,BXcr,5.83,5.3025
2021.71,BKcr,5.48,5.3025
2021.99,QNcr,5.43,5.3525
2021.99,MNcr,4.62,5.3525
2021.99,BXcr,5.85,5.3525
2021.99,BKcr,5.51,5.3525
2019.92,QNcr,5.43,5.3525
2019.92,MNcr,4.62,5.3525
2019.92,BXcr,5.85,5.3525
2019.92,BKcr,5.51,5.3525
2021.98,QNcr,5.43,5.3525
2021.98,MNcr,4.62,5.3525
2021.98,BXcr,5.85,5.3525
2021.98,BKcr,5.51,5.3525
2021.93,QNcr,5.43,5.3525
2021.93,MNcr,4.62,5.3525
2021.93,BXcr,5.85,5.3525
2021.93,BKcr,5.51,5.3525
2009.49,MNcr,4.71,5.575
2009.49,BKcr,6.44,5.575
2020.14,MNcr,4.71,5.575
2020.14,BKcr,6.44,5.575
2008.8,MNcr,4.74,6.343333333333334
2008.8,BKcr,5.98,6.343333333333334
2020.4,MNcr,4.74,5.36
2020.4,BKcr,5.98,5.36
2008.07,MNcr,4.79,5.25
2008.07,BKcr,5.71,5.25
2020.6,MNcr,4.79,4.993333333333333
2020.6,BKcr,5.71,4.993333333333333
2020.82,MNcr,4.85,4.85
2021.05,MNcr,4.95,4.95
2021.28,MNcr,5.06,5.06
2021.5,MNcr,5.19,5.19
2021.73,MNcr,5.31,5.31
2021.94,MNcr,5.45,5.45
